Dialogue_ID,Utterance_ID,Utterance,Speaker,Emotion,Sentiment
s01_e02_c01,s01_e02_c01_u001,"What you guys don't understand is, for us, kissing is as important as any part of it.",Monica Geller,Joyful,positive
s01_e02_c01,s01_e02_c01_u002,"Yeah, right!.......Y'serious?",Joey Tribbiani,Neutral,neutral
s01_e02_c01,s01_e02_c01_u003,"Oh, yeah!",Phoebe Buffay,Joyful,positive
s01_e02_c01,s01_e02_c01_u004,Everything you need to know is in that first kiss.,Rachel Green,Powerful,positive
s01_e02_c01,s01_e02_c01_u005,Absolutely.,Monica Geller,Powerful,positive
s01_e02_c01,s01_e02_c01_u006,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Chandler Bing,Joyful,positive
s01_e02_c01,s01_e02_c01_u007,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Ross Geller,Neutral,neutral
s01_e02_c01,s01_e02_c01_u008,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Chandler Bing,Mad,negative
s01_e02_c01,s01_e02_c01_u009,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Rachel Green,Sad,negative
s01_e02_c01,s01_e02_c01_u010,....Are we still talking about sex?,Joey Tribbiani,Joyful,positive
s01_e02_c02,s01_e02_c02_u001,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Ross Geller,Scared,negative
s01_e02_c02,s01_e02_c02_u002,"Well, she has issues.",Marsha,Sad,negative
s01_e02_c02,s01_e02_c02_u003,Does she.,Ross Geller,Scared,negative
s01_e02_c02,s01_e02_c02_u004,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Marsha,Mad,negative
s01_e02_c02,s01_e02_c02_u005,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Ross Geller,Neutral,neutral
s01_e02_c02,s01_e02_c02_u006,"Speaking of issues, isn't that your ex-wife?",Marsha,Mad,negative
s01_e02_c02,s01_e02_c02_u008,No. No.,Ross Geller,Scared,negative
s01_e02_c02,s01_e02_c02_u009,"Yes, it is. Carol! Hi!",Marsha,Joyful,positive
s01_e02_c02,s01_e02_c02_u010,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",Ross Geller,Scared,negative
s01_e02_c02,s01_e02_c02_u012,Hi.,Ross Geller,Neutral,neutral
s01_e02_c02,s01_e02_c02_u013,So.,Carol Willick,Neutral,neutral
s01_e02_c02,s01_e02_c02_u014,"You look great. I, uh... I hate that.",Ross Geller,Scared,negative
s01_e02_c02,s01_e02_c02_u015,Sorry. You look good too.,Carol Willick,Joyful,positive
s01_e02_c02,s01_e02_c02_u016,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Ross Geller,Joyful,positive
s01_e02_c02,s01_e02_c02_u017,A lesbian?,Carol Willick,Neutral,neutral
s01_e02_c02,s01_e02_c02_u018,"Well... you never know. How's, um.. how's the family?",Ross Geller,Peaceful,positive
s01_e02_c02,s01_e02_c02_u019,"Marty's still totally paranoid. Oh, and, uh-",Carol Willick,Mad,negative
s01_e02_c02,s01_e02_c02_u020,"Why- why are you here, Carol?",Ross Geller,Scared,negative
s01_e02_c02,s01_e02_c02_u021,I'm pregnant.,Carol Willick,Neutral,neutral
s01_e02_c02,s01_e02_c02_u022,Pregnant?!,Ross Geller,Scared,negative
s01_e02_c06,s01_e02_c06_u001,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Ross Geller,Neutral,neutral
s01_e02_c06,s01_e02_c06_u003,Hi.,Susan Bunch,Neutral,neutral
s01_e02_c06,s01_e02_c06_u004,"Ross, you remember Susan.",Carol Willick,Neutral,neutral
s01_e02_c06,s01_e02_c06_u005,How could I forget?,Ross Geller,Mad,negative
s01_e02_c06,s01_e02_c06_u006,Ross.,Susan Bunch,Neutral,neutral
s01_e02_c06,s01_e02_c06_u007,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Ross Geller,Neutral,neutral
s01_e02_c06,s01_e02_c06_u008,Dr. Oberman.,Carol Willick,Neutral,neutral
s01_e02_c06,s01_e02_c06_u009,..Dr. Oberman. Okay. And is he-,Ross Geller,Neutral,neutral
s01_e02_c06,s01_e02_c06_u010,She.,Susan Bunch,Neutral,neutral
s01_e02_c06,s01_e02_c06_u011,"-she, of course, she- uh- familiar with our.. special situation?",Ross Geller,Neutral,neutral
s01_e02_c06,s01_e02_c06_u012,"Yes, and she's very supportive.",Carol Willick,Neutral,neutral
s01_e02_c06,s01_e02_c06_u013,"Okay, that's great. No, I'm- Oh.",Ross Geller,Neutral,neutral
s01_e02_c06,s01_e02_c06_u014,Thanks.,Carol Willick,Neutral,neutral
s01_e02_c06,s01_e02_c06_u015,"Quack, quack..",Ross Geller,Joyful,positive
s01_e02_c06,s01_e02_c06_u016,Ross? That opens my cervix.,Carol Willick,Scared,negative
s01_e02_c07,s01_e02_c07_u001,Barry?,Rachel Green,Neutral,neutral
s01_e02_c07,s01_e02_c07_u002,C'mon in.,Barry Farber,Neutral,neutral
s01_e02_c07,s01_e02_c07_u003,Are you sure?,Rachel Green,Scared,negative
s01_e02_c07,s01_e02_c07_u004,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Barry Farber,Neutral,neutral
s01_e02_c07,s01_e02_c07_u005,Huh?!,Robbie,Scared,negative
s01_e02_c07,s01_e02_c07_u006,"So, how ya doin?",Barry Farber,Peaceful,positive
s01_e02_c07,s01_e02_c07_u007,I'm- uh- I'm okay... You look great!,Rachel Green,Sad,negative
s01_e02_c07,s01_e02_c07_u008,"Yeah, well..",Barry Farber,Neutral,neutral
s01_e02_c07,s01_e02_c07_u009,"Dr. Farber, Jason Greenstein's gagging.",Bernice,Neutral,neutral
s01_e02_c07,s01_e02_c07_u010,Be right there. Be back in a sec.,Barry Farber,Neutral,neutral
s01_e02_c07,s01_e02_c07_u012,I dumped him.,Rachel Green,Sad,negative
s01_e02_c07,s01_e02_c07_u013,Okay.,Robbie,Neutral,neutral
s01_e02_c08,s01_e02_c08_u001,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",Ross Geller,Scared,negative
s01_e02_c08,s01_e02_c08_u002,Give me a 'for instance'.,Carol Willick,Mad,negative
s01_e02_c08,s01_e02_c08_u003,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Ross Geller,Scared,negative
s01_e02_c08,s01_e02_c08_u004,Marlon-,Carol Willick,Powerful,positive
s01_e02_c08,s01_e02_c08_u005,Marlon?!,Ross Geller,Mad,negative
s01_e02_c08,s01_e02_c08_u006,"-if it's a boy, Minnie if it's a girl.",Carol Willick,Powerful,positive
s01_e02_c08,s01_e02_c08_u007,...As in Mouse?,Ross Geller,Mad,negative
s01_e02_c08,s01_e02_c08_u008,As in my grandmother.,Carol Willick,Neutral,neutral
s01_e02_c08,s01_e02_c08_u009,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Ross Geller,Scared,negative
s01_e02_c08,s01_e02_c08_u010,Julia..,Carol Willick,Neutral,neutral
s01_e02_c08,s01_e02_c08_u011,We agreed on Minnie.,Susan Bunch,Powerful,positive
s01_e02_c08,s01_e02_c08_u012,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Ross Geller,Powerful,positive
s01_e02_c09,s01_e02_c09_u001,Sorry about that. So. What have you been up to?,Barry Farber,Neutral,neutral
s01_e02_c09,s01_e02_c09_u002,"Oh, not much. I-I got a job.",Rachel Green,Scared,negative
s01_e02_c09,s01_e02_c09_u003,"Oh, that's great.",Barry Farber,Joyful,positive
s01_e02_c09,s01_e02_c09_u004,Why are- why are you so tanned?,Rachel Green,Scared,negative
s01_e02_c09,s01_e02_c09_u005,"Oh, I, uh- I went to Aruba.",Barry Farber,Scared,negative
s01_e02_c09,s01_e02_c09_u006,Oh no. You went on our honeymoon alone?,Rachel Green,Mad,negative
s01_e02_c09,s01_e02_c09_u007,"No. I went with, uh.. Now, this may hurt.",Barry Farber,Neutral,neutral
s01_e02_c09,s01_e02_c09_u008,Me?!,Robbie,Neutral,neutral
s01_e02_c09,s01_e02_c09_u009,No! I went with Mindy.,Barry Farber,Scared,negative
s01_e02_c09,s01_e02_c09_u010,"Mindy?! My maid of honour, Mindy?!",Rachel Green,Mad,negative
s01_e02_c09,s01_e02_c09_u011,"Yeah, well, uh, we're kind of a thing now.",Barry Farber,Scared,negative
s01_e02_c09,s01_e02_c09_u012,"Oh! Well, um.. You've got plugs!",Rachel Green,Mad,negative
s01_e02_c09,s01_e02_c09_u013,Careful! They haven't quite taken yet.,Barry Farber,Mad,negative
s01_e02_c09,s01_e02_c09_u014,And you've got lenses! But you hate sticking your finger in your eye!,Rachel Green,Mad,negative
s01_e02_c09,s01_e02_c09_u015,"Not for her. Listen, I really wanted to thank you.",Barry Farber,Peaceful,positive
s01_e02_c09,s01_e02_c09_u016,Okay..,Rachel Green,Mad,negative
s01_e02_c09,s01_e02_c09_u017,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Barry Farber,Neutral,neutral
s01_e02_c09,s01_e02_c09_u018,Wow.,Rachel Green,Scared,negative
s01_e02_c09,s01_e02_c09_u019,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Barry Farber,Joyful,positive
s01_e02_c09,s01_e02_c09_u020,What?,Rachel Green,Scared,negative
s01_e02_c09,s01_e02_c09_u021,Me.,Robbie,Sad,negative
s01_e02_c09,s01_e02_c09_u022,"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Rachel Green,Sad,negative
s01_e02_c09,s01_e02_c09_u023,"Well, thank you for giving it back.",Barry Farber,Sad,negative
s01_e02_c09,s01_e02_c09_u025,Hello?!,Robbie,Scared,negative
s01_e02_c10,s01_e02_c10_u001,"Oh, please! What's wrong with Helen?",Susan Bunch,Mad,negative
s01_e02_c10,s01_e02_c10_u002,Helen Geller? I don't think so.,Ross Geller,Mad,negative
s01_e02_c10,s01_e02_c10_u003,Hello? It's not gonna be Helen Geller.,Carol Willick,Powerful,positive
